KYW_20140711_110000_CBS_This_Morning	1679.0	1739.0	Tom Corbett (con)	NextGen Climate Action Committee - Pennsylvania
KYW_20140712_100000_Eyewitness_News_at_6	702.5	762.5	Tom Corbett (con)	NextGen Climate Action Committee - Pennsylvania
KYW_20140713_110000_Eyewitness_News_at_7am	1771.8	1831.8	Tom Corbett (con)	NextGen Climate Action Committee - Pennsylvania
KYW_20140718_110000_CBS_This_Morning	6492.0	6521.9	Tom Corbett (con)	NextGen Climate Action Committee - Pennsylvania
KYW_20140728_223000_CBS_Evening_News_With_Scott_Pelley	1769.7	1804.0	Tom Wolf (pro)	Tom Wolf for Governor
KYW_20140729_030000_Eyewitness_News_at_11	22.2	56.0	Tom Wolf (pro)	Tom Wolf for Governor
KYW_20140806_110000_CBS_This_Morning	6810.9	6840.8	Tom Wolf (pro)	Tom Wolf for Governor
KYW_20140807_110000_CBS_This_Morning	4847.0	4876.2	Tom Wolf (pro)	Tom Wolf for Governor
KYW_20140808_100000_Eyewitness_News_at_6	1133.1	1162.8	Tom Wolf (pro)	Tom Wolf for Governor
KYW_20140809_030000_Eyewitness_News_at_11	1771.0	1800.3	Tom Wolf (pro)	Tom Wolf for Governor
KYW_20140811_030000_Eyewitness_News_at_11	1731.2	1760.7	Tom Wolf (pro)	Tom Wolf for Governor
KYW_20140811_110000_CBS_This_Morning	6845.8	6875.3	Tom Wolf (pro)	Tom Wolf for Governor
KYW_20140827_100000_Eyewitness_News_at_6	1148.2	1181.0	Tom Wolf (pro)	Tom Wolf for Governor
KYW_20140831_130000_CBS_News_Sunday_Morning	451.0	480.3	Tom Wolf (pro)	Tom Wolf for Governor
KYW_20140831_130000_CBS_News_Sunday_Morning	451.2	480.6	Tom Wolf (pro)	Tom Wolf for Governor
KYW_20140901_060500_Eyewitness_News_at_11	1595.2	1626.0	none	National Association of Broadcasters
KYW_20140901_070500_Up_to_the_Minute	1982.4	2013.3	none	National Association of Broadcasters
KYW_20140901_090000_Eyewitness_News_at_5	1064.5	1094.6	none	National Association of Broadcasters
KYW_20140901_110000_CBS_This_Morning	6814.0	6843.4	Tom Wolf (pro)	Tom Wolf for Governor
KYW_20140902_030000_Eyewitness_News_at_11	1332.1	1363.2	Tom Wolf (pro)	Tom Wolf for Governor
KYW_20140902_083000_Eyewitness_News_at_430am	1029.4	1059.5	none	National Association of Broadcasters
KYW_20140902_100000_Eyewitness_News_at_6	3130.9	3161.0	Tom Corbett (con)	Philadelphia Federation of Teachers
KYW_20140902_100000_Eyewitness_News_at_6	3574.0	3604.4	Tom Wolf (pro)	Tom Wolf for Governor
KYW_20140902_100000_Eyewitness_News_at_6	3574.0	3605.1	Tom Wolf (pro)	Tom Wolf for Governor
KYW_20140902_110000_CBS_This_Morning	3568.5	3598.7	Tom Corbett (con)	Philadelphia Federation of Teachers
KYW_20140902_110000_CBS_This_Morning	6295.0	6324.6	Tom Wolf (pro)	Tom Wolf for Governor
KYW_20140902_110000_CBS_This_Morning	6295.0	6324.9	Tom Wolf (pro)	Tom Wolf for Governor
KYW_20140902_210000_Eyewitness_News_at_5	1377.9	1407.7	Tom Corbett (con)	Philadelphia Federation of Teachers
